0.060307107,0.032504289,0.069107084,,,,,-0.013976964,0.160465481,,0.069107084,0.009104048,,-0.994177601,0.005812164,0.005812164,,1,100,0.005812164,0.160465481,0.069107084
-0.008799977,0.069107084,0.032504289,,,,,-0.174442445,0.034167895,,0.032504289,4.01123E-05,,-0.999989765,1.07282E-06,0.00374323,,2,200,0.00374323,0.034167895,0.032504289
-0.041304266,0.020175203,0.020175203,,,,,-0.20861034,0.021665369,,0.024175203,1.55489E-05,,-0.999990838,4.46769E-07,0.00234123,,3,300,0.00234123,0.021665369,0.024175203
-0.061479469,0.020296213,0.020296213,,,,,-0.230275709,0.018227969,,0.021029621,6.97381E-06,,-0.999991285,2.91028E-07,0.0016,,4,400,0.0016,0.018227969,0.021029621
-0.081775682,0.627828103,0.627828103,,,,,-0.248503678,0.015240692,,0.019828103,4.29584E-06,,-0.999991576,4.59698E-07,4.60E-04,,5,500,4.60E-04,0.015240692,0.019828103
-0.709603785,0.009094537,0.009094538,,,,,-0.26374437,0.014022302,,0.009094538,3.18055E-06,,-0.999992035,3.16683E-07,3.17E-04,,6,600,3.17E-04,0.014022302,0.009094538
-0.718698323,0.005994042,0.005994042,,,,,-0.277766672,0.014244681,,0.005994042,2.31303E-06,,-0.999992352,1.88561E-07,1.89E-04,,7,700,1.89E-04,0.014244681,0.005994042
-0.724692365,0.005096999,0.005096998,,,,,-0.292011353,0.013726747,,0.005096998,1.76423E-06,,-0.999992541,1.99948E-07,2.00E-04,,8,800,2.00E-04,0.013726747,0.005096998
-0.729789363,0.004571724,0.004571725,,,,,-0.305738101,0.01213058,,0.004571725,1.26109E-06,,-0.999992741,2.58718E-07,2.59E-04,,9,900,2.59E-04,0.01213058,0.004571725
-0.734361088,0.004818455,0.004818455,,,,,-0.317868681,0.010933406,,0.004218455,1.03967E-06,,-0.999992999,2.95253E-07,2.95E-04,,10,1000,2.95E-04,0.010933406,0.004218455
-0.739179543,0.027067246,0.027067246,,,,,-0.328802087,0.009678018,,0.002706725,7.67366E-07,,-0.999993295,1.63963E-07,1.64E-05,,11,1100,1.64E-05,0.009678018,0.002706725
-0.766246789,0.072658414,0.072658413,,,,,-0.338480105,0.010347529,,0.002265841,7.09931E-07,,-0.999993459,1.84391E-07,1.84E-04,,12,1200,1.84E-04,0.010347529,0.002265841
