0,,12
5,,8
6,,9
12,,12
13,,21
11,,17
18,,15
9,,14
13,,13
20,,10
13,,16
15,,16
9,,14
19,,15
16,,12
15,,11
8,,12
14,,12
15,,17
16,,16
14,,16
15,,14
11,,9
13,,12
14,,13
17,,7
11,,10
8,,23
12,,12
10,,12
14,,16
17,,8
8,,9
13,,8
12,,10
11,,10
12,,16
8,,9
14,,11
21,,13
16,,14
14,,14
10,,6
15,,12
9,,12
14,,10
12,,7
13,,11
13,,13
9,,7
12,,13
8,,5
9,,18
12,,17
21,,17
17,,10
15,,14
14,,13
13,,13
10,,8
16,,8
16,,10
14,,18
15,,9
12,,12
11,,10
12,,15
12,,18
17,,14
16,,13
16,,
14,,
9,,
12,,
13,,
7,,
10,,
23,,
12,,
12,,
16,,
8,,
9,,
8,,
10,,
10,,
16,,
9,,
11,,
13,,
14,,
14,,
6,,
12,,
12,,
10,,
7,,
11,,
13,,
7,,
13,,
5,,
18,,
17,,
17,,
10,,
14,,
13,,
13,,
8,,
8,,
10,,
18,,
9,,
12,,
10,,
15,,
18,,
14,,
13,,
